time,trialNumber,phaseNumber
11.31776,3,3
11.3284,3,3
11.33958,3,3
11.3508,3,3
11.3619,3,3
11.37283,3,3
11.38422,3,3
11.39518,3,3
11.40627,3,3
11.41793,3,3
11.42838,3,3
11.43962,3,3
11.45089,3,3
11.46185,3,3
11.4729,3,3
11.48408,3,3
11.49528,3,3
11.50624,3,3
11.51726,3,3
11.52881,3,3
11.53979,3,3
11.55103,3,3
11.56192,3,3
11.57281,3,3
11.58396,3,3
11.59504,3,3
11.60617,3,3
11.61804,3,3
11.6284,3,3
11.63966,3,3
11.65069,3,3
11.66176,3,3
11.67301,3,3
11.68429,3,3
11.69502,3,3
11.70612,3,3
11.7174,3,3
11.72828,3,3
11.73941,3,3
11.75052,3,3
11.76153,3,3
11.77267,3,3
3.020651,4,3
3.032015,4,3
3.042982,4,3
3.054068,4,3
3.065027,4,3
3.076166,4,3
3.087297,4,3
3.098471,4,3
3.109655,4,3
3.120665,4,3
3.131845,4,3
3.142729,4,3
3.154081,4,3
3.165216,4,3
3.176287,4,3
3.187204,4,3
3.1984,4,3
3.209803,4,3
3.220533,4,3
3.231646,4,3
3.242826,4,3
3.254045,4,3
3.26507,4,3
3.276323,4,3
3.287401,4,3
3.298281,4,3
3.30945,4,3
3.32065,4,3
3.332304,4,3
3.342798,4,3
3.354029,4,3
3.365099,4,3
3.376337,4,3
3.387243,4,3
3.398409,4,3
3.409311,4,3
3.420778,4,3
3.431711,4,3
3.443357,4,3
3.453939,4,3
3.465178,4,3
3.476545,4,3
3.487768,4,3
3.498938,4,3
3.509333,4,3
3.520391,4,3
3.531427,4,3
3.542585,4,3
3.55393,4,3
3.564699,4,3
3.575922,4,3
3.58716,4,3
3.598253,4,3
3.609198,4,3
3.620428,4,3
3.631483,4,3
3.642492,4,3
3.653761,4,3
3.664839,4,3
3.675825,4,3
3.68709,4,3
3.698111,4,3
3.709627,4,3
3.720503,4,3
3.731768,4,3
3.742811,4,3
3.754179,4,3
3.764853,4,3
3.775976,4,3
3.787195,4,3
3.798265,4,3
3.809504,4,3
3.82044,4,3
3.831724,4,3
3.84263,4,3
3.854326,4,3
3.865141,4,3
3.876139,4,3
3.887163,4,3
3.898279,4,3
3.909613,4,3
3.920698,4,3
3.93173,4,3
3.942968,4,3
3.954008,4,3
3.965021,4,3
3.976088,4,3
3.987307,4,3
3.998667,4,3
4.009439,4,3
4.020403,4,3
4.031527,4,3
4.042746,4,3
4.053595,4,3
4.064848,4,3
4.075705,4,3
4.087011,4,3
4.098253,4,3
4.109068,4,3
4.120295,4,3
4.131395,4,3
4.142412,4,3
4.153612,4,3
4.164515,4,3
4.175714,4,3
4.186739,4,3
4.197821,4,3
4.209173,4,3
4.220156,4,3
4.231081,4,3
4.242273,4,3
4.253397,4,3
4.264486,4,3
4.275537,4,3
4.286814,4,3
4.297785,4,3
4.309065,4,3
4.319979,4,3
4.331144,4,3
4.342318,4,3
4.353292,4,3
4.364584,4,3
4.375792,4,3
4.386648,4,3
4.397738,4,3
4.408949,4,3
4.420027,4,3
4.431124,4,3
4.442446,4,3
4.453268,4,3
4.464449,4,3
4.475389,4,3
4.486719,4,3
4.497725,4,3
4.508909,4,3
4.52014,4,3
4.531092,4,3
4.542253,4,3
4.553354,4,3
4.564543,4,3
4.575518,4,3
4.586691,4,3
4.5977,4,3
4.608728,4,3
4.61989,4,3
4.631128,4,3
4.642202,4,3
4.653128,4,3
4.664499,4,3
4.675451,4,3
4.686583,4,3
4.697741,4,3
4.709055,4,3
4.7199,4,3
4.731047,4,3
4.742243,4,3
4.753313,4,3
4.764257,4,3
4.775339,4,3
4.786524,4,3
4.797686,4,3
4.808706,4,3
4.819899,4,3
4.830988,4,3
4.842096,4,3
4.853163,4,3
4.864161,4,3
4.875463,4,3
4.886686,4,3
4.897482,4,3
4.90896,4,3
4.920053,4,3
4.93091,4,3
4.942034,4,3
4.953447,4,3
4.964426,4,3
4.975496,4,3
4.986555,4,3
4.997538,4,3
5.008699,4,3
5.019735,4,3
5.030828,4,3
5.042109,4,3
5.053095,4,3
5.064226,4,3
5.075384,4,3
5.086439,4,3
5.097857,4,3
5.108789,4,3
5.119734,4,3
5.130716,4,3
5.142115,4,3
5.153139,4,3
5.164076,4,3
5.175295,4,3
5.186731,4,3
5.197512,4,3
5.20857,4,3
5.21977,4,3
5.230703,4,3
5.241861,4,3
5.253038,4,3
5.264441,4,3
5.27548,4,3
5.286654,4,3
5.297716,4,3
5.30871,4,3
5.319872,4,3
5.330858,4,3
5.34255,4,3
5.353075,4,3
5.364149,4,3
5.375345,4,3
5.386404,4,3
5.397352,4,3
5.4088,4,3
5.419783,4,3
5.431433,4,3
5.442129,4,3
5.45289,4,3
5.464468,4,3
5.475225,4,3
5.48625,4,3
5.497511,4,3
5.508673,4,3
5.519773,4,3
5.530931,4,3
5.541971,4,3
5.553205,4,3
5.564444,4,3
5.575315,4,3
5.586248,4,3
5.597231,4,3
5.608423,4,3
5.619471,4,3
5.630762,4,3
5.641588,4,3
5.652796,4,3
5.663893,4,3
5.675047,4,3
5.6863,4,3
5.697592,4,3
5.708605,4,3
5.719469,4,3
5.730478,4,3
5.741724,4,3
5.752981,4,3
5.76396,4,3
5.775423,4,3
5.786352,4,3
5.797476,4,3
5.808638,4,3
5.819906,4,3
5.830793,4,3
5.841871,4,3
5.853128,4,3
5.864119,4,3
5.874994,4,3
5.886362,4,3
5.89757,4,3
5.908514,4,3
5.919661,4,3
5.93128,4,3
5.94206,4,3
5.952944,4,3
5.96406,4,3
5.974943,4,3
5.986231,4,3
5.997351,4,3
6.008425,4,3
6.019518,4,3
6.030581,4,3
6.041754,4,3
6.052927,4,3
6.063875,4,3
6.07498,4,3
6.085955,4,3
6.097254,4,3
6.108255,4,3
6.119329,4,3
6.130548,4,3
6.141924,4,3
6.152884,4,3
6.163893,4,3
6.175058,4,3
6.186022,4,3
6.197039,4,3
6.20825,4,3
6.2195,4,3
6.230272,4,3
6.241533,4,3
6.252771,4,3
6.26383,4,3
6.275026,4,3
6.286131,4,3
6.297102,4,3
6.308367,4,3
6.319197,4,3
6.330263,4,3
6.341372,4,3
6.352415,4,3
6.363623,4,3
6.374659,4,3
6.385691,4,3
6.396894,4,3
6.408304,4,3
6.419104,4,3
6.430254,4,3
6.44145,4,3
6.452551,4,3
6.463461,4,3
6.474661,4,3
6.485872,4,3
6.496828,4,3
6.507975,4,3
6.519186,4,3
6.530172,4,3
6.541182,4,3
